country,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,54.1,,,,,,,,53.7,,,,,,,,66.3,,,,,,,,,,,,,,,32.4,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,1.8,1.5,1.3,1.4,2.2,1.5,0.7,0.9,0.7,1.3,0.7,1.3,1,0.9,0.5,0.2,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.3,0.1,0.3,0.3,0.1,0,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.4,1.6,0.6,1.3,1.7,1.7,1,1.1,1.2,0.8,0.7,0.6,0.8,0.4,0.2,0.5,,
Morocco,,,,,,,,,,,,,,,,,,,,,,13.2,,,,,,4.7,,,,,,,,8.4,,7.9,,,,,,4.2,,,,,,,1.4,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,24,33.5,31.1,23.3,13.6,5.6,6.6,10.9,2,1,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0,0,0,,0,
Madagascar,,,,,,,,,,,,,,,,,,48.7,,,,,,,,,,,,,73.3,,,,69.4,,66.9,,71,,,,74.2,,,,,80.2,,80.7,,,,,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,3.8,,,,,,,0,,,0,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,,,7.4,,7.3,,18.1,,12.9,,8.9,,6.6,,6,6.5,4.2,,5.4,,4.5,,3.8,,3.7,,3.2,,2.6,,3.1,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,10.4,9.1,6.9,5.2,4.5,5.5,4.2,4.5,3.4,2.7,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.5,,,,,,,57.2,,,,,49.7,,,48.2,,,,,,,,,15.2,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.4,0.1,0.4,0.2,0.2,0.1,0,0,0.1,0.1,0.2,0.1,0.3,0.3,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,2,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1.6,1.3,2.5,3.3,2.8,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,28.4,,,,11.6,,,,,1.7,,,1.1,0.9,0.5,,0.3,,0.7,,0.7,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.7,,,,,,80.6,,,,,,70.8,,,,,,64.6,,,,,74.4,,,
